Primary,CMS Link,Date,Date QA Completed,ID / Task / Case Number,Name,QA Completed by:,QA Status,XML/HTML,Type,Status,QA Comment,QA Fix Comment,QA Link,Follow Up Count
All info,https://graceoconnor.example.com/inventory/vehicle-22.htm,2026-07-19,2026-07-19,DE-100022,grace.oconnor@example.com,Priya Shah,Passed,TRUE,SEO Landing Page,Completed,,,https://chat.example.com/files/22,3
All info,https://alicejohnson.example.com/inventory/vehicle-46.htm,2026-07-13,2026-07-23,DE-100046,alice.johnson@example.com,Priya Shah,Passed,TRUE,SEO Landing Page,Completed,,,https://chat.example.com/files/46,0
All info,https://elenapetrova.example.com/inventory/vehicle-60.htm,2026-06-27,2026-07-17,DE-100060,elena.petrova@example.com,Priya Shah,Passed,TRUE,SEO Landing Page,Completed,,,https://chat.example.com/files/60,1
All info,https://alicejohnson.example.com/inventory/vehicle-28.htm,2026-07-25,2026-07-25,DE-100028,alice.johnson@example.com,Priya Shah,Passed,TRUE,Blog,Completed,,,https://chat.example.com/files/28,3
All info,https://hirotanaka.example.com/inventory/vehicle-55.htm,2026-07-22,2026-07-22,DE-100055,hiro.tanaka@example.com,Owen Clarke,Passed,TRUE,OEM Landing Page,Completed,,,https://chat.example.com/files/55,3
All info,https://carlamendez.example.com/inventory/vehicle-20.htm,2026-07-17,2026-07-17,DE-100020,carla.mendez@example.com,Priya Shah,Passed,TRUE,SEO Landing Page,Completed,,,https://chat.example.com/files/20,1
All info,https://derekosei.example.com/inventory/vehicle-35.htm,2026-07-02,2026-07-22,DE-100035,derek.osei@example.com,Priya Shah,In progress,TRUE,OEM Landing Page,Completed,,,https://chat.example.com/files/35,4
All info,https://alicejohnson.example.com/inventory/vehicle-4.htm,2026-07-01,2026-07-21,DE-100004,alice.johnson@example.com,Owen Clarke,Critical,TRUE,OEM Landing Page,Completed,D/M | Critical | Layout | Page fails to render on mobile,,https://chat.example.com/files/4,4
All info,https://briankim.example.com/inventory/vehicle-24.htm,2026-07-21,2026-07-21,DE-100024,brian.kim@example.com,Owen Clarke,Passed,TRUE,SEO Landing Page,Completed,,,https://chat.example.com/files/24,1
All info,https://alicejohnson.example.com/inventory/vehicle-37.htm,2026-07-04,2026-07-24,DE-100037,alice.johnson@example.com,Priya Shah,Opportunity,TRUE,SEO Landing Page,Completed,M | Opportunity | Layout | Content block could be reordered,Fixed,https://chat.example.com/files/37,1
All info,https://elenapetrova.example.com/inventory/vehicle-42.htm,2026-07-09,2026-07-19,DE-100042,elena.petrova@example.com,Priya Shah,Passed,TRUE,OEM Landing Page,Completed,,,https://chat.example.com/files/42,0
All info,https://alicejohnson.example.com/inventory/vehicle-7.htm,2026-07-04,2026-07-24,DE-100007,alice.johnson@example.com,Owen Clarke,Critical,TRUE,SEO Landing Page,Completed,D/M | Critical | Layout | Page fails to render on mobile,"NA: Intentional, no fix needed",https://chat.example.com/files/7,2
All info,https://carlamendez.example.com/inventory/vehicle-40.htm,2026-07-07,2026-07-17,DE-100040,carla.mendez@example.com,Owen Clarke,Passed,TRUE,Posting Case,Completed,,,https://chat.example.com/files/40,1
All info,https://briankim.example.com/inventory/vehicle-27.htm,2026-07-24,2026-07-24,DE-100027,brian.kim@example.com,Owen Clarke,Critical,TRUE,OEM Landing Page,Completed,D/M | Critical | Layout | Page fails to render on mobile,"NA: Intentional, no fix needed",https://chat.example.com/files/27,4
All info,https://elenapetrova.example.com/inventory/vehicle-56.htm,2026-07-23,2026-07-23,DE-100056,elena.petrova@example.com,Priya Shah,Passed,TRUE,OEM Landing Page,Completed,,,https://chat.example.com/files/56,3
All info,https://hirotanaka.example.com/inventory/vehicle-44.htm,2026-07-11,2026-07-21,DE-100044,hiro.tanaka@example.com,Priya Shah,Critical,TRUE,Posting Case,Completed,D/M | Critical | Layout | Page fails to render on mobile,Fixed,https://chat.example.com/files/44,2
All info,https://briankim.example.com/inventory/vehicle-11.htm,2026-07-08,2026-07-18,DE-100011,brian.kim@example.com,Owen Clarke,Opportunity,TRUE,Blog,Completed,D/M | Opportunity | Styling | Element overlaps the header on mobile,,https://chat.example.com/files/11,3
All info,https://graceoconnor.example.com/inventory/vehicle-59.htm,2026-07-26,2026-07-26,DE-100059,grace.oconnor@example.com,Owen Clarke,Passed,TRUE,SEO Landing Page,Completed,,,https://chat.example.com/files/59,4
All info,https://hirotanaka.example.com/inventory/vehicle-45.htm,2026-07-12,2026-07-22,DE-100045,hiro.tanaka@example.com,Owen Clarke,Failed,TRUE,SEO Landing Page,Completed,D/M | Failed | Link | Broken link in the footer,Fixed,https://chat.example.com/files/45,1
All info,https://carlamendez.example.com/inventory/vehicle-16.htm,2026-07-13,2026-07-23,DE-100016,carla.mendez@example.com,Owen Clarke,Passed,TRUE,SEO Landing Page,Completed,,,https://chat.example.com/files/16,0
All info,https://graceoconnor.example.com/inventory/vehicle-33.htm,2026-06-30,2026-07-20,DE-100033,grace.oconnor@example.com,Owen Clarke,Passed,TRUE,SEO Landing Page,Completed,,,https://chat.example.com/files/33,3
All info,https://briankim.example.com/inventory/vehicle-9.htm,2026-07-06,2026-07-26,DE-100009,brian.kim@example.com,Owen Clarke,Failed,TRUE,Blog,Completed,D/M | Failed | Link | Broken link in the footer,"NA: Intentional, no fix needed",https://chat.example.com/files/9,1
All info,https://graceoconnor.example.com/inventory/vehicle-17.htm,2026-07-14,2026-07-24,DE-100017,grace.oconnor@example.com,Priya Shah,Passed,TRUE,SEO Landing Page,Completed,,,https://chat.example.com/files/17,1
All info,https://graceoconnor.example.com/inventory/vehicle-14.htm,2026-07-11,2026-07-21,DE-100014,grace.oconnor@example.com,Owen Clarke,Passed,TRUE,Blog,Completed,,,https://chat.example.com/files/14,4
All info,https://faridhassan.example.com/inventory/vehicle-41.htm,2026-07-08,2026-07-18,DE-100041,farid.hassan@example.com,Priya Shah,Passed,TRUE,SEO Landing Page,Completed,,,https://chat.example.com/files/41,2
All info,https://graceoconnor.example.com/inventory/vehicle-53.htm,2026-07-20,2026-07-20,DE-100053,grace.oconnor@example.com,Priya Shah,Opportunity,TRUE,Blog,Completed,M | Opportunity | Layout | Content block could be reordered,,https://chat.example.com/files/53,0
All info,https://elenapetrova.example.com/inventory/vehicle-23.htm,2026-07-20,2026-07-20,DE-100023,elena.petrova@example.com,Priya Shah,Passed,TRUE,OEM Landing Page,Completed,,,https://chat.example.com/files/23,1
All info,https://briankim.example.com/inventory/vehicle-34.htm,2026-07-01,2026-07-21,DE-100034,brian.kim@example.com,Owen Clarke,Passed,TRUE,Blog,Completed,,,https://chat.example.com/files/34,0
All info,https://carlamendez.example.com/inventory/vehicle-57.htm,2026-07-24,2026-07-24,DE-100057,carla.mendez@example.com,Owen Clarke,Passed,TRUE,SEO Landing Page,Completed,,,https://chat.example.com/files/57,2
All info,https://alicejohnson.example.com/inventory/vehicle-39.htm,2026-07-06,2026-07-26,DE-100039,alice.johnson@example.com,Owen Clarke,Passed,TRUE,Blog,Completed,,,https://chat.example.com/files/39,2
All info,https://briankim.example.com/inventory/vehicle-12.htm,2026-07-09,2026-07-19,DE-100012,brian.kim@example.com,Owen Clarke,Opportunity,TRUE,Posting Case,Completed,M | Opportunity | Layout | Content block could be reordered,,https://chat.example.com/files/12,3
All info,https://derekosei.example.com/inventory/vehicle-58.htm,2026-07-25,2026-07-25,DE-100058,derek.osei@example.com,Owen Clarke,Failed,TRUE,Blog,Completed,D/M | Failed | Config | Required tracking script missing,Fixed,https://chat.example.com/files/58,0
All info,https://briankim.example.com/inventory/vehicle-30.htm,2026-06-27,2026-07-17,DE-100030,brian.kim@example.com,Priya Shah,In progress,TRUE,OEM Landing Page,Completed,,,https://chat.example.com/files/30,3
All info,https://derekosei.example.com/inventory/vehicle-50.htm,2026-07-17,2026-07-17,DE-100050,derek.osei@example.com,Priya Shah,Passed,TRUE,SEO Landing Page,Completed,,,https://chat.example.com/files/50,4
All info,https://briankim.example.com/inventory/vehicle-13.htm,2026-07-10,2026-07-20,DE-100013,brian.kim@example.com,Priya Shah,Failed,TRUE,Posting Case,Completed,D/M | Failed | Link | Broken link in the footer,Fixed,https://chat.example.com/files/13,1
All info,https://alicejohnson.example.com/inventory/vehicle-3.htm,2026-06-30,2026-07-20,DE-100003,alice.johnson@example.com,Owen Clarke,Critical,TRUE,OEM Landing Page,Completed,D/M | Critical | Content | Placeholder text left in production,,https://chat.example.com/files/3,4
All info,https://graceoconnor.example.com/inventory/vehicle-21.htm,2026-07-18,2026-07-18,DE-100021,grace.oconnor@example.com,Owen Clarke,Passed,TRUE,Posting Case,Completed,,,https://chat.example.com/files/21,1
All info,https://alicejohnson.example.com/inventory/vehicle-49.htm,2026-07-16,2026-07-26,DE-100049,alice.johnson@example.com,Owen Clarke,Passed,TRUE,Posting Case,Completed,,,https://chat.example.com/files/49,1
All info,https://alicejohnson.example.com/inventory/vehicle-1.htm,2026-06-28,2026-07-18,DE-100001,alice.johnson@example.com,Owen Clarke,Critical,TRUE,Blog,Completed,D/M | Critical | Layout | Page fails to render on mobile,Fixed,https://chat.example.com/files/1,2
All info,https://graceoconnor.example.com/inventory/vehicle-36.htm,2026-07-03,2026-07-23,DE-100036,grace.oconnor@example.com,Owen Clarke,In progress,TRUE,Posting Case,Completed,,,https://chat.example.com/files/36,4
All info,https://alicejohnson.example.com/inventory/vehicle-31.htm,2026-06-28,2026-07-18,DE-100031,alice.johnson@example.com,Owen Clarke,Passed,TRUE,Blog,Completed,,,https://chat.example.com/files/31,2
All info,https://briankim.example.com/inventory/vehicle-51.htm,2026-07-18,2026-07-18,DE-100051,brian.kim@example.com,Owen Clarke,Passed,TRUE,OEM Landing Page,Completed,,,https://chat.example.com/files/51,4
All info,https://derekosei.example.com/inventory/vehicle-32.htm,2026-06-29,2026-07-19,DE-100032,derek.osei@example.com,Priya Shah,Opportunity,TRUE,Posting Case,Completed,M | Opportunity | Layout | Content block could be reordered,Fixed,https://chat.example.com/files/32,3
All info,https://alicejohnson.example.com/inventory/vehicle-5.htm,2026-07-02,2026-07-22,DE-100005,alice.johnson@example.com,Priya Shah,Critical,TRUE,Posting Case,Completed,D/M | Critical | Layout | Page fails to render on mobile,Fixed,https://chat.example.com/files/5,0
All info,https://briankim.example.com/inventory/vehicle-54.htm,2026-07-21,2026-07-21,DE-100054,brian.kim@example.com,Owen Clarke,Passed,TRUE,Posting Case,Completed,,,https://chat.example.com/files/54,0
All info,https://derekosei.example.com/inventory/vehicle-15.htm,2026-07-12,2026-07-22,DE-100015,derek.osei@example.com,Priya Shah,Passed,TRUE,SEO Landing Page,Completed,,,https://chat.example.com/files/15,2
All info,https://alicejohnson.example.com/inventory/vehicle-2.htm,2026-06-29,2026-07-19,DE-100002,alice.johnson@example.com,Priya Shah,Critical,TRUE,Blog,Completed,D/M | Critical | Content | Placeholder text left in production,Fixed,https://chat.example.com/files/2,1
All info,https://derekosei.example.com/inventory/vehicle-29.htm,2026-07-26,2026-07-26,DE-100029,derek.osei@example.com,Priya Shah,Passed,TRUE,OEM Landing Page,Completed,,,https://chat.example.com/files/29,1
All info,https://briankim.example.com/inventory/vehicle-10.htm,2026-07-07,2026-07-17,DE-100010,brian.kim@example.com,Owen Clarke,Failed,TRUE,SEO Landing Page,Completed,D/M | Failed | Config | Required tracking script missing,,https://chat.example.com/files/10,1
All info,https://carlamendez.example.com/inventory/vehicle-43.htm,2026-07-10,2026-07-20,DE-100043,carla.mendez@example.com,Priya Shah,Passed,TRUE,SEO Landing Page,Completed,,,https://chat.example.com/files/43,3
